Country,Frequency
United States,172622
Russia,113772
United Kingdom,62493
China,61547
Ukraine,61369
Kyrgyzstan,53538
New Zealand,49726
South Africa,47001
Syria,42274
Germany,42221
India,42127
Türkiye,40479
France,39649
Colombia,38816
Japan,36432
Philippines,35095
Iran,30670
Israel,30483
Canada,30385
Hungary,30347
South Korea,30272
Uruguay,29630
United Arab Emirates,29419
Spain,27840
Italy,26604
Indonesia,26140
Afghanistan,25440
Brazil,25288
Georgia,24210
Iraq,24202
Mexico,24107
Ecuador,23732
Venezuela,23362
Slovakia,23318
Bosnia and Herzegovina,22401
Peru,22092
Equatorial Guinea,21584
Cuba,21419
Australia,21100
Egypt,20109
Guatemala,20004
Argentina,18771
Panama,18621
Qatar,18419
Romania,18327
Netherlands,18075
Armenia,17957
Poland,17951
Azerbaijan,17536
Kazakhstan,17262
Serbia,17242
Pakistan,17085
Jordan,17033
Belarus,16523
Saudi Arabia,16479
Dominican Republic,16400
Singapore,16332
Finland,16252
Estonia,16136
Switzerland,16023
Croatia,15584
Palestine,15580
Greece,15423
Tajikistan,15391
Chile,15225
Montenegro,14420
Uzbekistan,13795
Costa Rica,13661
Moldova,13368
Sweden,12973
Austria,12830
Turkmenistan,12577
Andorra,12311
Libya,11977
Belgium,11858
Suriname,11815
Taiwan,11781
Maldives,11720
Slovenia,11505
Lebanon,11279
Thailand,11052
Norway,10742
Bulgaria,10560
Malaysia,10351
Czechia,10269
North Korea,9996
Vietnam,9903
Morocco,9812
Latvia,9251
Denmark,9130
Fiji,9058
Bolivia,9045
Albania,8914
Portugal,8740
El Salvador,8663
Cambodia,8658
Lithuania,8320
Bahrain,8229
Ireland,8171
Yemen,8072
Kenya,7865
Paraguay,7766
Nigeria,7509
Sudan,7301
Ethiopia,7288
Congo,7131
Cyprus,7087
Honduras,6605
Seychelles,6552
Tunisia,6525
Myanmar,6375
Kuwait,6326
Bangladesh,6285
Nicaragua,6256
North Macedonia,6218
Sri Lanka,5988
Kosovo,5938
Haiti,5538
Somalia,5304
Algeria,5273
Ghana,5089
Laos,4902
Liberia,4810
Oman,4714
Mali,4496
Luxembourg,4463
Nepal,4444
Angola,4421
Jamaica,4412
Rwanda,4397
Belize,4360
Tanzania,4266
Mongolia,4201
Cape Verde,4137
Mozambique,4043
Benin,3908
Uganda,3904
Samoa,3867
Iceland,3815
Senegal,3799
Guyana,3559
Brunei,3559
Malta,3542
Burundi,3433
Zimbabwe,3218
South Sudan,3190
Burkina Faso,3174
Timor-Leste,3092
Gabon,2814
Trinidad and Tobago,2770
Niger,2717
Madagascar,2708
Soviet Union,2682
Namibia,2651
Mauritania,2529
Cameroon,2517
Zambia,2516
Sierra Leone,2402
Central African Republic,2378
Chad,2366
Guinea,2266
Botswana,2228
Barbados,2159
Bhutan,2045
Burma,1843
Mauritius,1820
Malawi,1752
Lesotho,1752
Papua New Guinea,1751
DPRK,1638
Viet Nam,1577
Bahamas,1555
Côte d'Ivoire,1408
Liechtenstein,1379
Togo,1369
Tonga,1347
Solomon Islands,1347
Ivory Coast,1337
Djibouti,1299
Eritrea,1233
Comoros,1211
Lao PDR,1172
The Bahamas,1169
Vanuatu,1150
Monaco,1145
Antigua and Barbuda,1101
Hong Kong,1074
Vatican,1041
Palau,1027
